0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:15:53 +0530] "GET /Ebook-App/book/Java%20Programming HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:15:53 +0530] "GET /Ebook-App/book/Data%20Structure HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:15:53 +0530] "GET /Ebook-App/book/C++%20Programming HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:15:53 +0530] "GET /Ebook-App/book/C%20Programming HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:04 +0530] "GET /Ebook-App/delete?id=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:04 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 9154
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:04 +0530] "GET /Ebook-App/book/C%20Programming2 HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:04 +0530] "GET /Ebook-App/book/English%20Book HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:04 +0530] "GET /Ebook-App/book/English%20Book3 HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:04 +0530] "GET /Ebook-App/book/English%20Book4 HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:04 +0530] "GET /Ebook-App/book/Operating%20System HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:04 +0530] "GET /Ebook-App/book/Java%20Programming HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:04 +0530] "GET /Ebook-App/book/Data%20Structure HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:04 +0530] "GET /Ebook-App/book/C++%20Programming HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:04 +0530] "GET /Ebook-App/book/C%20Programming HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:14 +0530] "GET /Ebook-App/delete?id=14 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:14 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 8674
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:14 +0530] "GET /Ebook-App/book/C%20Programming2 HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:14 +0530] "GET /Ebook-App/book/English%20Book HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:14 +0530] "GET /Ebook-App/book/English%20Book4 HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:14 +0530] "GET /Ebook-App/book/English%20Book3 HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:14 +0530] "GET /Ebook-App/book/Operating%20System HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:14 +0530] "GET /Ebook-App/book/Java%20Programming HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:14 +0530] "GET /Ebook-App/book/Data%20Structure HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:14 +0530] "GET /Ebook-App/book/C++%20Programming HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:14 +0530] "GET /Ebook-App/book/C%20Programming HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:22 +0530] "GET /Ebook-App/delete?id=7 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:22 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 8176
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:22 +0530] "GET /Ebook-App/book/C%20Programming2 HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:22 +0530] "GET /Ebook-App/book/English%20Book3 HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:22 +0530] "GET /Ebook-App/book/English%20Book4 HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:22 +0530] "GET /Ebook-App/book/Java%20Programming HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:22 +0530] "GET /Ebook-App/book/Data%20Structure HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:22 +0530] "GET /Ebook-App/book/Operating%20System HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:22 +0530] "GET /Ebook-App/book/C++%20Programming HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:22 +0530] "GET /Ebook-App/book/C%20Programming HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:26 +0530] "GET /Ebook-App/delete?id=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:26 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 7692
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:26 +0530] "GET /Ebook-App/book/C%20Programming2 HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:26 +0530] "GET /Ebook-App/book/English%20Book3 HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:26 +0530] "GET /Ebook-App/book/Operating%20System HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:26 +0530] "GET /Ebook-App/book/Java%20Programming HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:26 +0530] "GET /Ebook-App/book/Data%20Structure HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:26 +0530] "GET /Ebook-App/book/C++%20Programming HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:26 +0530] "GET /Ebook-App/book/C%20Programming HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:49 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 4793
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:16:53 +0530] "GET /Ebook-App/admin/order.jsp HTTP/1.1" 200 5876
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:17:00 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 4793
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:17:02 +0530] "GET /Ebook-App/admin/logout.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:17:09 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 4793
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:17:14 +0530] "GET /Ebook-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:17:14 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4838
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:19:30 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:19:38 +0530] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:19:38 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 4793
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:19:42 +0530] "GET /Ebook-App/admin/logout.jsp HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:21:40 +0530] "GET /Ebook-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:21:40 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4838
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:23:58 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:24:07 +0530] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:24:07 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 4793
0:0:0:0:0:0:0:1 - - [17/Sep/2023:18:24:10 +0530] "GET /Ebook-App/admin/logout.jsp HTTP/1.1" 200 1294
